Distance to edge[mm];ERF values;PSF values;
-0,158084;0,0222807;0,192629;
-0,157753;0,0231896;0,186894;
-0,157421;0,0236529;0,180443;
-0,157089;0,0252625;0,173605;
-0,156757;0,0254593;0,165804;
-0,156425;0,0253016;0,157784;
-0,156094;0,0251223;0,149929;
-0,155762;0,0243443;0,141666;
-0,15543;0,0239049;0,13339;
-0,155098;0,0239109;0,125619;
-0,154767;0,022959;0,118069;
-0,154435;0,0221918;0,111497;
-0,154103;0,0215965;0,105524;
-0,153771;0,0211854;0,100087;
-0,15344;0,0222933;0,0954916;
-0,153108;0,0219525;0,0917589;
-0,152776;0,0209819;0,0888886;
-0,152444;0,0220271;0,0866603;
-0,152113;0,0219751;0,0861024;
-0,151781;0,0205327;0,0865838;
-0,151449;0,0202466;0,0877251;
-0,151117;0,0207382;0,0884822;
-0,150786;0,0213087;0,0906886;
-0,150454;0,0213208;0,0935202;
-0,150122;0,0205744;0,0972844;
-0,14979;0,0200251;0,102198;
-0,149458;0,0202966;0,108115;
-0,149127;0,0204051;0,114865;
-0,148795;0,0209387;0,122633;
-0,148463;0,0209672;0,13012;
-0,148131;0,0204568;0,137479;
-0,1478;0,0212143;0,144061;
-0,147468;0,0201116;0,150208;
-0,147136;0,0197321;0,155464;
-0,146804;0,0201462;0,160881;
-0,146473;0,0197445;0,166498;
-0,146141;0,0203495;0,17134;
-0,145809;0,020588;0,175588;
-0,145477;0,0200838;0,180413;
-0,145146;0,0212898;0,184779;
-0,144814;0,021752;0,189068;
-0,144482;0,0211671;0,19297;
-0,14415;0,0218168;0,195275;
-0,143819;0,0220625;0,196766;
-0,143487;0,023495;0,197833;
-0,143155;0,0235421;0,197887;
-0,142823;0,0251005;0,196904;
-0,142492;0,0257012;0,195457;
-0,14216;0,0276707;0,192786;
-0,141828;0,0276647;0,189434;
-0,141496;0,0278844;0,184943;
-0,141164;0,0285009;0,179209;
-0,140833;0,0291335;0,173961;
-0,140501;0,0289393;0,169478;
-0,140169;0,0289796;0,164777;
-0,139837;0,0286846;0,160102;
-0,139506;0,0290515;0,155591;
-0,139174;0,0294152;0,150801;
-0,138842;0,0289024;0,146425;
-0,13851;0,028828;0,140717;
-0,138179;0,0295244;0,136043;
